simTime,fps
25.5687,60
25.5852,60
25.6018,60
25.6185,60
25.6351,60
25.6518,60
25.6685,60
25.6851,60
25.7018,60
25.7186,60
25.7353,60
25.7518,60
25.7685,60
25.7852,60
25.8019,60
25.8184,60
25.8351,60
25.8518,60
25.8685,60
25.8851,60
25.9018,60
25.9185,60
25.9351,60
25.9518,60
25.9685,60
25.9851,60
26.0019,60
26.0185,60
26.0351,60
26.0518,60
26.0685,60
26.0851,60
26.1018,60
26.1185,60
26.1351,60
26.1518,60
26.1685,60
26.1852,60
26.2018,60
26.2185,60
26.2352,60
26.2518,60
26.2685,60
26.2852,60
26.3018,60
26.3185,60
26.3351,60
26.3518,60
26.3685,60
26.3852,60
26.4018,60
26.4185,60
26.4352,60
26.4518,60
26.4685,60
26.4851,60
26.5019,60
26.5185,60
26.5352,60
26.5518,60
26.5685,60
26.5852,60
26.6018,60
26.6185,60
26.6352,60
26.6519,60
26.6686,60
26.6852,60
26.7019,60
26.7186,60
26.7352,60
26.7519,60
26.7686,60
26.7852,60
26.802,60
26.8186,60
26.8352,60
26.8519,60
26.8686,60
26.8853,60
26.9019,60
26.9186,60
26.9353,60
26.9519,60
26.9686,60
26.9853,60
27.0019,60
27.0186,60
27.0353,60
27.0519,60
27.0686,60
27.0853,60
27.102,60
27.1186,60
27.1352,60
27.152,60
27.1686,60
27.1853,60
27.2019,60
27.2186,60
27.2353,60
27.2519,60
27.2686,60
27.2853,60
27.302,60
27.3186,60
27.3353,60
27.352,60
27.3686,60
27.3853,60
27.402,60
27.4186,60
27.4353,60
27.452,60
27.4686,60
27.4853,60
27.5019,60
27.5186,60
27.5353,60
27.552,60
27.5686,60
27.5853,60
27.602,60
27.6186,60
27.6353,60
27.652,60
27.6686,60
27.6853,60
27.702,60
27.7187,60
27.7353,60
27.752,60
27.7686,60
27.7853,60
27.802,60
27.8186,60
27.8353,60
27.852,60
27.8687,60
27.8853,60
27.902,60
27.9187,60
27.9353,60
27.952,60
27.9687,60
27.9853,60
28.002,60
28.0187,60
28.0353,60
28.052,60
28.0686,60
28.0853,60
28.102,60
28.1187,60
28.1353,60
28.152,60
28.1686,60
28.1853,60
28.202,60
28.2187,60
28.2354,60
28.252,60
28.2687,60
28.2853,60
28.302,60
28.3187,60
28.3353,60
28.352,60
28.3687,60
28.3853,60
28.402,60
28.4187,60
28.4354,60
28.452,60
28.4687,60
28.4854,60
28.502,60
28.5187,60
28.5354,60
28.552,60
28.5687,60
28.5854,60
28.602,60
28.6187,60
28.6354,60
28.652,60
28.6687,60
28.6854,60
28.702,60
28.7187,60
28.7354,60
28.752,60
28.7687,60
28.7854,60
28.802,60
28.8187,60
28.8354,60
28.852,60
28.8687,60
28.8854,60
28.902,60
28.9187,60
28.9354,60
28.952,60
28.9687,60
28.9854,60
29.002,60
29.0187,60
29.0354,60
29.052,60
29.0687,60
29.0854,60
29.1021,60
29.1187,60
29.1354,60
29.152,60
29.1687,60
29.1854,60
29.202,60
29.2187,60
29.2354,60
29.2521,60
29.2687,60
29.2854,60
29.3021,60
29.3187,60
29.3354,60
29.3521,60
29.3687,60
29.3854,60
29.402,60
29.4187,60
29.4354,60
29.4521,60
29.4688,60
29.4854,60
29.5021,60
29.5188,60
29.5354,60
29.5521,60
29.5688,60
29.5854,60
29.6021,60
29.6187,60
29.6354,60
29.6522,60
29.6688,60
29.6854,60
29.7021,60
29.7187,60
29.7354,60
29.7521,60
29.7687,60
29.7854,60
29.8021,60
29.8188,60
29.8354,60
29.8521,60
29.8688,60
29.8854,60
29.9021,60
29.9187,60
29.9354,60
29.9521,60
29.9688,60
29.9854,60
30.0021,60
30.0187,60
30.0354,60
30.0521,60
30.0688,60
30.0855,60
30.1022,60
30.1189,60
30.1355,60
30.1522,60
30.1689,60
30.1855,60
30.2022,60
30.2189,60
30.2355,60
30.2523,60
30.2689,60
30.2856,60
30.3022,60
30.3189,60
30.3355,60
30.3522,60
30.3689,60
30.3856,60
30.4022,60
30.4189,60
30.4356,60
30.4522,60
30.4689,60
30.4856,60
30.5022,60
30.5189,60
30.5356,60
30.5522,60
30.5689,60
30.5856,60
30.6022,60
30.6189,60
30.6356,60
30.6522,60
30.6689,60
30.6856,60
30.7022,60
30.7189,60
30.7356,60
30.7523,60
30.7689,60
30.7856,60
30.8023,60
30.8189,60
30.8356,60
30.8523,60
30.8689,60
30.8856,60
30.9023,60
30.9189,60
30.9356,60
30.9523,60
30.9689,60
30.9857,60
31.0023,60
31.019,60
31.0356,60
31.0523,60
31.069,60
31.0856,60
31.1023,60
31.119,60
31.1357,60
31.1523,60
31.169,60
31.1856,60
31.2023,60
31.219,60
31.2357,60
31.2524,60
31.269,60
31.2857,60
31.3024,60
31.3191,60
31.3357,60
31.3524,60
31.3691,60
31.3857,60
31.4024,60
31.419,60
31.4357,60
31.4524,60
31.469,60
31.4857,60
31.5024,60
31.5191,60
31.5357,60
31.5524,60
31.5691,60
31.5858,60
31.6024,60
31.6191,60
31.6358,60
31.6524,60
31.6691,60
31.6857,60
31.7024,60
31.7192,60
31.7359,60
31.7525,60
31.7691,60
31.7858,60
31.8025,60
31.8192,60
31.8358,60
31.8525,60
31.8692,60
31.8858,60
31.9025,60
31.9192,60
31.9358,60
31.9525,60
31.9692,60
31.9859,60
32.0025,60
32.0192,60
32.0358,60
32.0525,60
32.0692,60
32.0859,60
32.1026,60
32.1192,60
32.1359,60
32.1525,60
32.1692,60
32.1859,60
32.2025,60
32.2192,60
32.2359,60
32.2525,60
32.2692,60
32.2859,60
32.3026,60
32.3192,60
32.3359,60
32.3526,60
32.3692,60
32.3859,60
32.4027,60
32.4192,60
32.4359,60
32.4526,60
32.4692,60
32.4859,60
32.5026,60
32.5193,60
32.5359,60
32.5526,60
32.5692,60
32.5859,60
32.6026,60
32.6192,60
32.6359,60
32.6526,60
32.6692,60
32.686,60
32.7026,60
32.7193,60
32.736,60
32.7526,60
32.7693,60
32.786,60
32.8026,60
32.8193,60
32.836,60
32.8526,60
32.8693,60
32.886,60
32.9026,60
32.9193,60
32.936,60
32.9527,60
32.9693,60
32.986,60
33.0026,60
33.0193,60
33.036,60
33.0527,60
33.0693,60
33.086,60
33.1027,60
33.1194,60
33.136,60
33.1526,60
33.1693,60
33.186,60
33.2027,60
33.2193,60
33.236,60
33.2527,60
33.2693,60
33.286,60
33.3027,60
33.3194,60
33.336,60
33.3527,60
33.3693,60
33.386,60
33.4028,60
33.4194,60
33.436,60
33.4527,60
33.4693,60
33.486,60
33.5027,60
33.5194,60
33.536,60
33.5527,60
33.5694,60
33.5861,60
33.6028,60
33.6194,60
33.6361,60
33.6527,60
33.6694,60
33.6861,60
33.7027,60
33.7194,60
33.736,60
33.7527,60
33.7694,60
33.7861,60
33.8027,60
33.8194,60
33.836,60
33.8527,60
33.8694,60
33.886,60
33.9028,60
33.9195,60
33.9361,60
33.9527,60
33.9694,60
33.9861,60
34.0027,60
34.0195,60
34.0361,60
34.0527,60
34.0694,60
34.0861,60
34.1027,60
34.1194,60
34.1361,60
34.1527,60
34.1694,60
34.1861,60
34.2028,60
34.2194,60
34.2361,60
34.2528,60
34.2694,60
34.2861,60
34.3028,60
34.3195,60
34.3361,60
34.3528,60
34.3694,60
34.3861,60
34.4029,60
34.4194,60
34.4361,60
34.4528,60
34.4694,60
34.4861,60
34.5028,60
34.5194,60
34.5361,60
34.5528,60
34.5694,60
34.5861,60
34.6028,60
34.6194,60
34.6361,60
34.6528,60
34.6694,60
34.6861,60
34.7028,60
34.7194,60
34.7361,60
34.7528,60
34.7694,60
34.7862,60
34.8028,60
34.8195,60
34.8361,60
34.8528,60
34.8694,60
34.8861,60
34.9028,60
34.9195,60
34.9362,60
34.9528,60
34.9695,60
34.9862,60
35.0028,60
35.0195,60
35.0361,60
35.0528,60
35.0695,60
35.0861,60
35.1029,60
35.1196,60
35.1361,60
35.1528,60
35.1695,60
35.1861,60
35.2028,60
35.2195,60
35.2362,60
35.2528,60
35.2695,60
35.2862,60
35.3028,60
35.3195,60
35.3362,60
35.3528,60
35.3695,60
35.3862,60
35.403,60
35.4196,60
35.4362,60
35.4528,60
35.4695,60
35.4861,60
35.5028,60
35.5195,60
35.5362,60
35.5528,60
35.5695,60
35.5862,60
35.6028,60
35.6195,60
35.6362,60
35.6528,60
35.6695,60
35.6862,60
35.7029,60
35.7196,60
35.7362,60
35.7529,60
35.7696,60
35.7862,60
35.8029,60
35.8195,60
35.8362,60
35.8529,60
35.8695,60
35.8862,60
35.9029,60
35.9195,60
35.9362,60
35.9529,60
35.9696,60
35.9862,60
36.003,60
36.0196,60
36.0363,60
36.053,60
36.0697,60
36.0862,60
36.1029,60
36.1196,60
36.1363,60
36.1529,60
36.1696,60
36.1862,60
36.2029,60
36.2196,60
36.2363,60
36.2529,60
36.2696,60
36.2863,60
36.3029,60
36.3196,60
36.3362,60
36.3529,60
36.3696,60
36.3863,60
36.403,60
36.4197,60
36.4363,60
36.4529,60
36.4696,60
36.4863,60
36.503,60
36.5197,60
36.5363,60
36.5531,60
36.5697,60
36.5863,60
36.6029,60
36.6196,60
36.6363,60
36.653,60
36.6696,60
36.6863,60
36.703,60
36.7197,60
36.7363,60
36.753,60
36.7696,60
36.7863,60
36.803,60
36.8196,60
36.8363,60
36.853,60
36.8697,60
36.8863,60
36.903,60
36.9197,60
36.9363,60
36.953,60
36.9696,60
36.9863,60
37.003,60
37.0197,60
37.0363,60
37.053,60
37.0697,60
37.0863,60
37.103,60
37.1197,60
37.1363,60
37.153,60
37.1697,60
37.1863,60
37.203,60
37.2197,60
37.2364,60
37.253,60
37.2697,60
37.2863,60
37.303,60
37.3197,60
37.3364,60
37.353,60
37.3696,60
37.3863,60
37.403,60
37.4196,60
37.4363,60
37.453,60
37.4697,60
37.4863,60
37.503,60
37.5197,60
37.5364,60
37.553,60
37.5697,60
37.5863,60
37.603,60
37.6197,60
37.6364,60
37.653,60
37.6697,60
37.6864,60
37.703,60
37.7197,60
37.7364,60
37.753,60
37.7697,60
37.7864,60
37.8031,60
37.8197,60
37.8364,60
37.853,60
37.8697,60
37.8864,60
37.903,60
37.9197,60
37.9364,60
37.9531,60
37.9697,60
37.9864,60
38.003,60
38.0197,60
38.0364,60
38.053,60
38.0697,60
38.0864,60
38.103,60
38.1198,60
38.1364,60
38.153,60
38.1697,60
38.1864,60
38.2031,60
38.2197,60
